Case UPC,Client,Item UPC,Pack / Size / UOM,Item Description,DBW Group,Primary PG,Secondary DBW Group,Units to Cases - (Case Count)
82484,HOSTFZN,3144,6/12.7 OZ,HOSTESS SGR CKIE CUPCAKE,LP404044,MULTI PACK 6 PK,SBS HST,6
99998,HOSTFZN,,,MISC ADJUSTMENT ,,MISC ADJUSTMENTS,,1
99999,HOSTFZN,,,TOTAL DISCOUNTS ,,MISC ADJUSTMENTS,,1
ADFEE ,HOSTFZN,,,AD FEE ,,EVENTS WITHOUT PRODUCTS,,1
ADJUSTME ,HOSTFZN,,,CLAIMS BALANCE ADJUSTMENTS ,,EVENTS WITHOUT PRODUCTS,,1
ADMINFEE ,HOSTFZN,,,ADMIN FEE ,,EVENTS WITHOUT PRODUCTS,,1
ALLORDER ,HOSTFZN,,,SWELL ALLOWANCE ,,MISC ADJUSTMENTS,,1
DAMAGES ,HOSTFZN,,,CLAIMS NON-TRADE DAMAGES ,,UNKNOWN,,1
FREIGHT ,HOSTFZN,,,FREIGHT ,,UNKNOWN,,1
LUMPFEE ,HOSTFZN,,,LUMP SUM ADMIN FEE ,,EVENTS WITHOUT PRODUCTS,,1
NOTREP ,HOSTFZN,,,NOT REPRESENTED ,,UNKNOWN,,1
OTHEREVT ,HOSTFZN,,,SEE COMMENTS ,,EVENTS WITHOUT PRODUCTS,,1
TPRFEE ,HOSTFZN,,,TPR FEE ,,EVENTS WITHOUT PRODUCTS,,1
UNKNOWN,HOSTFZN,KNOWN,,UNKNOWN ,,UNKNOWN,,1
